"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","10","100","7.800000000000001","5","2.8000000000000003","10","100","""byRandom""","4","1","0","10","61"
"1","20","100","9.4","2.6","2","10","100","""byRandom""","4","1","0","10","57.95"
"1","50","100","2.2","2.2","7","10","100","""byRandom""","4","1","0","10","53.5"
"2","10","100","5.800000000000001","8.200000000000001","2","10","100","""byRandom""","4","1","0","10","63.25"
"2","30","100","4.800000000000001","4","7.800000000000001","10","100","""byRandom""","4","1","0","10","59.75"
"2","70","100","2.8000000000000003","3.4000000000000004","7","10","100","""byRandom""","4","1","0","10","55.7"
"2","150","100","5.2","2.2","3.8000000000000003","10","100","""byRandom""","4","1","0","10","55.3"
"2","440","100","0.8","5.4","3.2","10","100","""byRandom""","4","1","0","10","54.4"
"3","10","100","9.4","4.2","9.8","10","100","""byRandom""","4","1","0","10","62.1"
"3","30","100","6.4","0.8","1.8","10","100","""byRandom""","4","1","0","10","58.15"
"3","50","100","5.6000000000000005","5","4.800000000000001","10","100","""byRandom""","4","1","0","10","55"
