"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","packetradius*","fitness","num-replicates","best-fitness-so-far"
"1","20","200","0","0.4","0.4","5","100","""byPackets""","5","3","32.125","20","32.125"
"1","40","200","0","0.8","0.9","5","100","""byPackets""","5","3","46.4","20","32.125"
"1","60","200","0.2","1","0.6000000000000001","5","100","""byPackets""","5","3","79.925","20","32.125"
"1","80","200","0.6000000000000001","0.8","0","5","100","""byPackets""","5","3","107.15","20","32.125"
"1","100","200","0.6000000000000001","0","0.7000000000000001","5","100","""byPackets""","5","3","125","20","32.125"
"1","120","200","0.6000000000000001","0.9","0.1","5","100","""byPackets""","5","3","39.275","20","32.125"
"1","140","200","0.9","0.2","0.7000000000000001","5","100","""byPackets""","5","3","43.075","20","32.125"
"1","160","200","0","0.9","0","5","100","""byPackets""","5","3","39.475","20","32.125"
"1","180","200","0.1","0.1","0.30000000000000004","5","100","""byPackets""","5","3","31","20","31"
"1","200","200","0.30000000000000004","0.9","0.6000000000000001","5","100","""byPackets""","5","3","35.95","20","31"
"1","220","200","1","0","0.1","5","100","""byPackets""","5","3","32.775","20","31"
"1","240","200","0.6000000000000001","0.9","0.8","5","100","""byPackets""","5","3","40.45","20","31"
"1","260","200","0.6000000000000001","0.5","0.30000000000000004","5","100","""byPackets""","5","3","33.8","20","31"
"1","280","200","0.8","0.2","0","5","100","""byPackets""","5","3","54.375","20","31"
"1","300","200","0.5","0.8","0.5","5","100","""byPackets""","5","3","33.875","20","31"
"1","320","200","0.2","0","0.8","5","100","""byPackets""","5","3","59.625","20","31"
"1","340","200","0.2","1","0.2","5","100","""byPackets""","5","3","39.825","20","31"
"1","360","200","0.7000000000000001","0.4","0.5","5","100","""byPackets""","5","3","57.375","20","31"
"1","380","200","0.5","1","0.6000000000000001","5","100","""byPackets""","5","3","54.65","20","31"
"1","400","200","0.30000000000000004","0.5","0.4","5","100","""byPackets""","5","3","31.075","20","31"
"1","420","200","0","0.2","0.4","5","100","""byPackets""","5","3","55.65","20","31"
"1","440","200","0.1","0.1","0.2","5","100","""byPackets""","5","3","31.1","20","31"
"1","460","200","0.7000000000000001","0.4","1","5","100","""byPackets""","5","3","59.625","20","31"
"1","480","200","1","0.2","1","5","100","""byPackets""","5","3","52.6","20","31"
"1","500","200","0.7000000000000001","0.1","0","5","100","""byPackets""","5","3","32.05","20","31"
"1","520","200","0.7000000000000001","0.6000000000000001","0.30000000000000004","5","100","""byPackets""","5","3","32.675","20","31"
"1","540","200","0","0","0.7000000000000001","5","100","""byPackets""","5","3","78.975","20","31"
"1","560","200","1","0","0.2","5","100","""byPackets""","5","3","31.225","20","31"
"1","580","200","0","0.5","0.8","5","100","""byPackets""","5","3","51.775","20","31"
"1","600","200","0","0","0.5","5","100","""byPackets""","5","3","43.3","20","31"
"1","620","200","0.2","0.5","0.7000000000000001","5","100","""byPackets""","5","3","49.325","20","31"
"1","640","200","0.7000000000000001","0.2","0.4","5","100","""byPackets""","5","3","33.525","20","31"
"1","660","200","0.9","0.1","0.9","5","100","""byPackets""","5","3","58.05","20","31"
"1","680","200","0.8","0.8","0.7000000000000001","5","100","""byPackets""","5","3","37.125","20","31"
"1","700","200","0.9","0.9","0.9","5","100","""byPackets""","5","3","63.7","20","31"
"1","720","200","1","0.7000000000000001","0","5","100","""byPackets""","5","3","39.675","20","31"
"1","740","200","0","0.5","0.2","5","100","""byPackets""","5","3","33.6","20","31"
"1","760","200","0.2","0","0.2","5","100","""byPackets""","5","3","54.475","20","31"
"1","780","200","1","0.2","0.6000000000000001","5","100","""byPackets""","5","3","80.4","20","31"
"1","800","200","0.2","0.2","0","5","100","""byPackets""","5","3","29.55","20","29.55"
"1","820","200","0.4","0.4","0.2","5","100","""byPackets""","5","3","34.5","20","29.55"
"1","840","200","0","1","0.8","5","100","""byPackets""","5","3","88.525","20","29.55"
"1","860","200","0.7000000000000001","0.1","0","5","100","""byPackets""","5","3","30.025","20","29.55"
"1","880","200","0.7000000000000001","0.7000000000000001","0.4","5","100","""byPackets""","5","3","34.25","20","29.55"
"1","900","200","0","0.2","0.8","5","100","""byPackets""","5","3","51.025","20","29.55"
"1","920","200","0.4","0.7000000000000001","1","5","100","""byPackets""","5","3","63.075","20","29.55"
"1","940","200","0","0.2","0.9","5","100","""byPackets""","5","3","80.975","20","29.55"
"1","960","200","0.4","0","0","5","100","""byPackets""","5","3","78.55","20","29.55"
"1","980","200","0.9","0.9","0.7000000000000001","5","100","""byPackets""","5","3","31.075","20","29.55"
"1","1000","200","0.7000000000000001","0.7000000000000001","0.8","5","100","""byPackets""","5","3","47.2","20","29.55"
"2","20","200","0.30000000000000004","0.8","0","5","100","""byPackets""","5","3","38.85","20","38.85"
"2","40","200","0.6000000000000001","0","0.2","5","100","""byPackets""","5","3","53.425","20","38.85"
"2","60","200","0.9","0.30000000000000004","0","5","100","""byPackets""","5","3","31.45","20","31.45"
"2","80","200","1","0.6000000000000001","0.2","5","100","""byPackets""","5","3","56.4","20","31.45"
"2","100","200","1","0","0.7000000000000001","5","100","""byPackets""","5","3","40.2","20","31.45"
