"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","10","100","8.200000000000001","5.800000000000001","4.6000000000000005","10","100","""byPackets""","5","1","0","10","56.8"
"1","140","100","1.6","7.800000000000001","6.800000000000001","10","100","""byPackets""","5","1","0","10","56.6"
"2","10","100","0.4","2","8.4","10","100","""byPackets""","5","1","0","10","63.2"
"2","20","100","1","0","4","10","100","""byPackets""","5","1","0","10","58.95"
"2","70","100","4","9.8","8.6","10","100","""byPackets""","5","1","0","10","58.3"
"2","80","100","0.8","3.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","0","10","57.45"
"2","120","100","1.6","6.2","8.6","10","100","""byPackets""","5","1","0","10","57.3"
"2","160","100","0.6000000000000001","2","3","10","100","""byPackets""","5","1","0","10","56.9"
"2","340","100","1.4000000000000001","5.6000000000000005","3.6","10","100","""byPackets""","5","1","0","10","56.75"
"2","350","100","2.6","5.6000000000000005","8.6","10","100","""byPackets""","5","1","0","10","54.6"
"3","10","100","7.2","8.6","7.800000000000001","10","100","""byPackets""","5","1","0","10","59.15"
"3","40","100","0.4","2.8000000000000003","6.800000000000001","10","100","""byPackets""","5","1","0","10","54.45"
"3","450","100","5.2","5","7.4","10","100","""byPackets""","5","1","0","10","53.85"
