"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"1","10","100","8.200000000000001","5.800000000000001","4.6000000000000005","10","100","""byPackets""","5","1","0","56.8","10","56.8"
"1","20","100","5.800000000000001","7.6000000000000005","0.6000000000000001","10","100","""byPackets""","5","1","0","72.15","10","56.8"
"1","30","100","4.800000000000001","7.800000000000001","0.4","10","100","""byPackets""","5","1","0","75.35","10","56.8"
"1","40","100","0.6000000000000001","5.6000000000000005","8.200000000000001","10","100","""byPackets""","5","1","0","58.5","10","56.8"
"1","50","100","8.200000000000001","5.2","1","10","100","""byPackets""","5","1","0","68.7","10","56.8"
"1","60","100","0","1.6","2.8000000000000003","10","100","""byPackets""","5","1","0","59.35","10","56.8"
"1","70","100","5.6000000000000005","0.4","5.4","10","100","""byPackets""","5","1","0","57.55","10","56.8"
"1","80","100","10","0","0.6000000000000001","10","100","""byPackets""","5","1","0","60.55","10","56.8"
"1","90","100","0.8","8.4","0.8","10","100","""byPackets""","5","1","0","82.1","10","56.8"
"1","100","100","2.4000000000000004","4","1.6","10","100","""byPackets""","5","1","0","85.9","10","56.8"
"1","110","100","6.2","5.2","9.4","10","100","""byPackets""","5","1","0","59.95","10","56.8"
"1","120","100","2.4000000000000004","7.2","4.800000000000001","10","100","""byPackets""","5","1","0","62.95","10","56.8"
"1","130","100","7.800000000000001","0.8","8.200000000000001","10","100","""byPackets""","5","1","0","58.6","10","56.8"
"1","140","100","1.6","7.800000000000001","6.800000000000001","10","100","""byPackets""","5","1","0","56.6","10","56.6"
"1","150","100","2","2.4000000000000004","5.800000000000001","10","100","""byPackets""","5","1","0","61.2","10","56.6"
"1","160","100","1.8","4","1.6","10","100","""byPackets""","5","1","0","103.1","10","56.6"
"1","170","100","7","4.2","2","10","100","""byPackets""","5","1","0","63.45","10","56.6"
"1","180","100","10","3","7","10","100","""byPackets""","5","1","0","65.2","10","56.6"
"1","190","100","1.8","4.2","4.800000000000001","10","100","""byPackets""","5","1","0","62.75","10","56.6"
"1","200","100","2.8000000000000003","9","5.4","10","100","""byPackets""","5","1","0","62.75","10","56.6"
"1","210","100","0.4","0.2","2.8000000000000003","10","100","""byPackets""","5","1","0","58.4","10","56.6"
"1","220","100","6","0.4","7.800000000000001","10","100","""byPackets""","5","1","0","60.5","10","56.6"
"1","230","100","3","0.8","4.4","10","100","""byPackets""","5","1","0","61","10","56.6"
"1","240","100","5.2","4.2","0","10","100","""byPackets""","5","1","0","66.3","10","56.6"
"1","250","100","5","3.4000000000000004","2.6","10","100","""byPackets""","5","1","0","59.6","10","56.6"
"1","260","100","8.6","3.8000000000000003","6.2","10","100","""byPackets""","5","1","0","59.1","10","56.6"
"1","270","100","9.8","7.6000000000000005","6.6000000000000005","10","100","""byPackets""","5","1","0","57.8","10","56.6"
"1","280","100","7","9.200000000000001","0.8","10","100","""byPackets""","5","1","0","66.5","10","56.6"
