"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","5","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","5","5","0.2","5","112.7"
"1","20","100","6.6000000000000005","4.2","4","10","100","""byRandom""","5","5","6","5","111.4"
"1","25","100","0","0.2","0.8","10","100","""byRandom""","5","5","7","5","105.2"
"1","40","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","5","5","2.2","5","100.6"
"2","5","100","2.8000000000000003","5.4","9.600000000000001","10","100","""byRandom""","5","5","5","5","115.1"
"2","25","100","1.8","5.4","6.4","10","100","""byRandom""","5","5","1","5","112"
"2","35","100","6","1","9.200000000000001","10","100","""byRandom""","5","5","4","5","110.1"
"2","55","100","8.4","7.6000000000000005","9.4","10","100","""byRandom""","5","5","1.4000000000000001","5","104.6"
"2","60","100","5.2","6.4","8.8","10","100","""byRandom""","5","5","9","5","102.7"
"2","90","100","3.2","1.2000000000000002","1.6","10","100","""byRandom""","5","5","0.8","5","95.8"
"2","420","100","5.4","7.800000000000001","5.6000000000000005","10","100","""byRandom""","5","5","4","5","95.7"
"3","5","100","1.6","9.4","8.8","10","100","""byRandom""","5","5","5.4","5","116.4"
"3","15","100","6.6000000000000005","0.8","0.4","10","100","""byRandom""","5","5","3.4000000000000004","5","113.5"
"3","30","100","0","4.6000000000000005","6.6000000000000005","10","100","""byRandom""","5","5","6.2","5","107.9"
"3","180","100","6.4","0","7.800000000000001","10","100","""byRandom""","5","5","5","5","95.3"
