"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","250","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","4","5","0.2","""1146531721""","0","244","122","70.86959855960805","244"
"1","2","250","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","4","5","0.2","""1939939573""","0","231","115.5","67.11681359142929","231"
"1","3","250","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","4","5","0.2","""1347419403""","0","220","110","63.94137940332536","220"
"1","4","250","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","4","5","0.2","""1474660385""","0","321","160.5","93.09761901717286","321"
"1","5","250","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","4","5","0.2","""365485747""","0","266","133","77.22046360907191","266"
"1","6","250","100","2.2","0.6000000000000001","7.4","10","100","""byRandom""","4","5","3","""-1771281973""","0","219","109.5","63.65270352991039","219"
"1","7","250","100","2.2","0.6000000000000001","7.4","10","100","""byRandom""","4","5","3","""-1488972638""","0","251","125.5","72.89032857656768","251"
"1","8","250","100","2.2","0.6000000000000001","7.4","10","100","""byRandom""","4","5","3","""1492730525""","0","196","98","57.013156376401405","196"
"1","9","250","100","2.2","0.6000000000000001","7.4","10","100","""byRandom""","4","5","3","""-1751593848""","0","180","90","52.39433811650517","180"
"1","10","250","100","2.2","0.6000000000000001","7.4","10","100","""byRandom""","4","5","3","""1915007657""","0","279","139.5","80.97324661063472","279"
"1","11","250","100","1.6","8.6","0.4","10","100","""byRandom""","4","5","2.6","""1667297607""","0","216","108","62.78667586890284","216"
"1","12","250","100","1.6","8.6","0.4","10","100","""byRandom""","4","5","2.6","""1168318419""","0","239","119.5","69.42621983083913","239"
"1","13","250","100","1.6","8.6","0.4","10","100","""byRandom""","4","5","2.6","""778058377""","0","342","171","99.15980368408697","342"
"1","14","250","100","1.6","8.6","0.4","10","100","""byRandom""","4","5","2.6","""1099090776""","0","299","149.5","86.74675786448736","299"
"1","15","250","100","1.6","8.6","0.4","10","100","""byRandom""","4","5","2.6","""-704312725""","0","259","129.5","75.1997340420829","259"
"1","16","250","100","6.6000000000000005","4.2","4","10","100","""byRandom""","4","5","6","""-442775352""","0","198","99","57.590508477236654","198"
"1","17","250","100","6.6000000000000005","4.2","4","10","100","""byRandom""","4","5","6","""-1468044743""","0","264","132","76.643112323722","264"
"1","18","250","100","6.6000000000000005","4.2","4","10","100","""byRandom""","4","5","6","""-1908934908""","0","252","126","73.17900427490571","252"
"1","19","250","100","6.6000000000000005","4.2","4","10","100","""byRandom""","4","5","6","""431218419""","0","256","128","74.33370702447175","256"
"1","20","250","100","6.6000000000000005","4.2","4","10","100","""byRandom""","4","5","6","""-384190771""","0","203","101.5","59.033888572581766","203"
"1","21","250","100","0","0.2","0.8","10","100","""byRandom""","4","5","7","""-1957300478""","0","192","96","55.85845206113992","192"
"1","22","250","100","0","0.2","0.8","10","100","""byRandom""","4","5","7","""1558320374""","0","216","108","62.78667586890284","216"
"1","23","250","100","0","0.2","0.8","10","100","""byRandom""","4","5","7","""-1359804128""","0","193","96.5","56.14712815451918","193"
"1","24","250","100","0","0.2","0.8","10","100","""byRandom""","4","5","7","""-1601730760""","0","231","115.5","67.11681359142929","231"
"1","25","250","100","0","0.2","0.8","10","100","""byRandom""","4","5","7","""-976231501""","0","243","121.5","70.58092282385282","243"
"1","26","250","100","8.4","5.6000000000000005","3.2","10","100","""byRandom""","4","5","6.4","""427029132""","0","154","77","44.88875137492688","154"
"1","27","250","100","8.4","5.6000000000000005","3.2","10","100","""byRandom""","4","5","6.4","""-287159787""","0","259","129.5","75.1997340420829","259"
"1","28","250","100","8.4","5.6000000000000005","3.2","10","100","""byRandom""","4","5","6.4","""1319451293""","0","231","115.5","67.11681359142929","231"
"1","29","250","100","8.4","5.6000000000000005","3.2","10","100","""byRandom""","4","5","6.4","""993441952""","0","263","131.5","76.3544366752843","263"
"1","30","250","100","8.4","5.6000000000000005","3.2","10","100","""byRandom""","4","5","6.4","""-1597563688""","0","178","89","51.81698563212646","178"
"1","31","250","100","2.4000000000000004","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","4","5","4.800000000000001","""-1419013855""","0","220","110","63.94137940332536","220"
"1","32","250","100","2.4000000000000004","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","4","5","4.800000000000001","""-2041503863""","0","276","138","80.10721981611063","276"
"1","33","250","100","2.4000000000000004","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","4","5","4.800000000000001","""-373185288""","0","290","145","84.1486779456457","290"
"1","34","250","100","2.4000000000000004","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","4","5","4.800000000000001","""1354068907""","0","263","131.5","76.3544366752843","263"
"1","35","250","100","2.4000000000000004","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","4","5","4.800000000000001","""-925516220""","0","348","174","100.89185629507799","348"
"1","36","250","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","4","5","2.2","""-301092185""","0","275","137.5","79.81854421122951","275"
"1","37","250","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","4","5","2.2","""1041477936""","0","227","113.5","65.96211033616193","227"
"1","38","250","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","4","5","2.2","""-188180467""","0","266","133","77.22046360907191","266"
"1","39","250","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","4","5","2.2","""1945614264""","0","213","106.5","61.92064814475594","213"
"1","40","250","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","4","5","2.2","""1766212041""","0","206","103","59.89991652748775","206"
"1","41","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""-1026246933""","0","192","96","55.85845206113992","192"
"1","42","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""1176353405""","0","219","109.5","63.65270352991039","219"
"1","43","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""-1354763953""","0","240","120","69.71489558671566","240"
"1","44","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""-522113842""","0","242","121","70.2922470831599","242"
"1","45","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""-613799403""","0","238","119","69.13754406977442","238"
"1","46","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""-405502309""","0","290","145","84.1486779456457","290"
"1","47","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""-1457076878""","0","229","114.5","66.53946197558258","229"
"1","48","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""981546012""","0","191","95.5","55.569775957799216","191"
"1","49","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""523740690""","0","237","118.5","68.84886830345629","237"
"1","50","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""570698113""","0","170","85","49.50757517794625","170"
