"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"1","5","100","5.2","6.6000000000000005","8.200000000000001","10","100","""byRandom""","5","5","0.2","112.7","5","112.7"
"1","10","100","2.2","0.6000000000000001","7.4","10","100","""byRandom""","5","5","3","112.9","5","112.7"
"1","15","100","1.6","8.6","0.4","10","100","""byRandom""","5","5","2.6","126","5","112.7"
"1","20","100","6.6000000000000005","4.2","4","10","100","""byRandom""","5","5","6","111.4","5","111.4"
"1","25","100","0","0.2","0.8","10","100","""byRandom""","5","5","7","105.2","5","105.2"
"1","30","100","8.4","5.6000000000000005","3.2","10","100","""byRandom""","5","5","6.4","124.1","5","105.2"
"1","35","100","2.4000000000000004","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","5","5","4.800000000000001","111.5","5","105.2"
"1","40","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","5","5","2.2","100.6","5","100.6"
"1","45","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","5","5","9.600000000000001","124","5","100.6"
"1","50","100","9","2.4000000000000004","1.6","10","100","""byRandom""","5","5","5","104.8","5","100.6"
"1","55","100","3.8000000000000003","8.4","4.800000000000001","10","100","""byRandom""","5","5","6.2","104.1","5","100.6"
"1","60","100","5","0.6000000000000001","2.8000000000000003","10","100","""byRandom""","5","5","4.6000000000000005","115.7","5","100.6"
"1","65","100","0.4","6.2","9.200000000000001","10","100","""byRandom""","5","5","0.8","102.8","5","100.6"
"1","70","100","0","4","4.2","10","100","""byRandom""","5","5","5.6000000000000005","111.1","5","100.6"
"1","75","100","5.800000000000001","5.800000000000001","0","10","100","""byRandom""","5","5","7.2","120.1","5","100.6"
"1","80","100","9.200000000000001","1","0.6000000000000001","10","100","""byRandom""","5","5","7.4","123.4","5","100.6"
"1","85","100","9.4","4.800000000000001","7.6000000000000005","10","100","""byRandom""","5","5","6.4","113.6","5","100.6"
"1","90","100","7","8","8.8","10","100","""byRandom""","5","5","6.800000000000001","133.1","5","100.6"
"1","95","100","4","9.4","3.6","10","100","""byRandom""","5","5","2.4000000000000004","134.3","5","100.6"
"1","100","100","3.6","1.2000000000000002","7.2","10","100","""byRandom""","5","5","8.6","120.7","5","100.6"
"1","105","100","7.4","2.4000000000000004","10","10","100","""byRandom""","5","5","8","119.9","5","100.6"
