"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","5","100","4.2","9","8.4","10","100","""byPackets""","5","1","6","5","61"
"1","20","100","9.200000000000001","0.8","4.4","10","100","""byPackets""","5","1","4","5","53.4"
"2","5","100","4.4","9.4","7.2","10","100","""byPackets""","5","1","1.6","5","58.3"
"2","25","100","7.4","10","3.2","10","100","""byPackets""","5","1","3.4000000000000004","5","57.6"
"2","30","100","8.6","10","6.2","10","100","""byPackets""","5","1","4","5","56.6"
"2","50","100","2.6","1.2000000000000002","8.200000000000001","10","100","""byPackets""","5","1","3.4000000000000004","5","53.8"
"2","210","100","9.8","0","5.800000000000001","10","100","""byPackets""","5","1","0","5","53.2"
"2","310","100","8.6","9","8.4","10","100","""byPackets""","5","1","6","5","53.1"
"3","5","100","3.2","7.800000000000001","1.6","10","100","""byPackets""","5","1","8.200000000000001","5","64.9"
"3","15","100","2","0.8","7.800000000000001","10","100","""byPackets""","5","1","7.800000000000001","5","58.2"
"3","25","100","3.4000000000000004","6.2","3.2","10","100","""byPackets""","5","1","5.2","5","54.4"
"3","135","100","1.6","5.800000000000001","5","10","100","""byPackets""","5","1","7.800000000000001","5","54.1"
"3","260","100","0.4","5.4","6.2","10","100","""byPackets""","5","1","0.8","5","53.4"
