"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"1","5","100","4.2","9","8.4","10","100","""byPackets""","5","1","6","61","5","61"
"1","10","100","6","3.8000000000000003","1.6","10","100","""byPackets""","5","1","5.800000000000001","62.6","5","61"
"1","15","100","4","8.6","0.6000000000000001","10","100","""byPackets""","5","1","1.6","67.1","5","61"
"1","20","100","9.200000000000001","0.8","4.4","10","100","""byPackets""","5","1","4","53.4","5","53.4"
"1","25","100","8.6","10","7.800000000000001","10","100","""byPackets""","5","1","7.2","56.8","5","53.4"
"1","30","100","1","9.4","5.4","10","100","""byPackets""","5","1","1.6","56.9","5","53.4"
"1","35","100","4.2","4","2.8000000000000003","10","100","""byPackets""","5","1","5.6000000000000005","61.1","5","53.4"
"1","40","100","9.200000000000001","2","2.8000000000000003","10","100","""byPackets""","5","1","8.6","60.5","5","53.4"
"1","45","100","6.2","6.2","6.2","10","100","""byPackets""","5","1","2","60","5","53.4"
"1","50","100","10","1.6","1.6","10","100","""byPackets""","5","1","5","58.1","5","53.4"
"1","55","100","7","2.4000000000000004","0.8","10","100","""byPackets""","5","1","6.800000000000001","58.6","5","53.4"
"1","60","100","6.2","1.6","9.4","10","100","""byPackets""","5","1","3","62.9","5","53.4"
"1","65","100","8.6","9.4","8.6","10","100","""byPackets""","5","1","4.4","63.5","5","53.4"
"1","70","100","8.6","7","4.4","10","100","""byPackets""","5","1","4.6000000000000005","60.9","5","53.4"
"1","75","100","7","1.6","5.800000000000001","10","100","""byPackets""","5","1","2.4000000000000004","67.8","5","53.4"
"1","80","100","2.4000000000000004","5.4","9.4","10","100","""byPackets""","5","1","7.800000000000001","55.6","5","53.4"
"1","85","100","6","4","2.2","10","100","""byPackets""","5","1","7.2","58.7","5","53.4"
"1","90","100","9.4","6.4","3.8000000000000003","10","100","""byPackets""","5","1","3","60.2","5","53.4"
"1","95","100","7.800000000000001","10","6.6000000000000005","10","100","""byPackets""","5","1","3.2","66.3","5","53.4"
"1","100","100","9.200000000000001","3.2","4.6000000000000005","10","100","""byPackets""","5","1","0.4","58.8","5","53.4"
"1","105","100","1","9","5.4","10","100","""byPackets""","5","1","1","60.9","5","53.4"
"1","110","100","6.2","0.2","7.800000000000001","10","100","""byPackets""","5","1","5.6000000000000005","61.7","5","53.4"
"1","115","100","2.8000000000000003","8.8","5.2","10","100","""byPackets""","5","1","9.4","59.1","5","53.4"
"1","120","100","5.4","5.4","3","10","100","""byPackets""","5","1","9.200000000000001","59.9","5","53.4"
"1","125","100","4.2","9.4","7.6000000000000005","10","100","""byPackets""","5","1","6.6000000000000005","58.5","5","53.4"
"1","130","100","1.8","6.800000000000001","4.2","10","100","""byPackets""","5","1","3","59.7","5","53.4"
"1","135","100","3.4000000000000004","7.800000000000001","9.4","10","100","""byPackets""","5","1","4.4","58.9","5","53.4"
"1","140","100","0","3.2","9.200000000000001","10","100","""byPackets""","5","1","4.800000000000001","58.6","5","53.4"
"1","145","100","9.4","6.2","2.6","10","100","""byPackets""","5","1","7.4","56.7","5","53.4"
"1","150","100","4.800000000000001","6.2","6.4","10","100","""byPackets""","5","1","7.800000000000001","62.6","5","53.4"
"1","155","100","5","7.4","8","10","100","""byPackets""","5","1","0.8","59.8","5","53.4"
"1","160","100","3.6","1.6","0","10","100","""byPackets""","5","1","6.2","61.9","5","53.4"
"1","165","100","1.6","2.6","10","10","100","""byPackets""","5","1","0","62.9","5","53.4"
"1","170","100","2.4000000000000004","7.6000000000000005","3.2","10","100","""byPackets""","5","1","5.4","63.7","5","53.4"
"1","175","100","5.4","0.8","8.4","10","100","""byPackets""","5","1","8.4","55.4","5","53.4"
